Fact,"Population estimates, July 1, 2024, (V2024)","Population estimates, July 1, 2023, (V2023)","Population estimates base, April 1, 2020, (V2024)","Population estimates base, April 1, 2020, (V2023)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","Population, Census, April 1, 2020","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black alone, percent (a)","American Indian and Alaska Native alone, percent (a)","Asian alone, percent (a)","Native Hawaiian and Other Pacific Islander alone, percent (a)","Two or More Races, percent","Hispanic or Latino, percent (b)","White alone, not Hispanic or Latino, percent","Veterans, 2019-2023","Foreign-born persons, percent, 2019-2023","Housing Units, July 1, 2023, (V2023)","Owner-occupied housing unit rate, 2019-2023","Median value of owner-occupied housing units, 2019-2023","Median selected monthly owner costs - with a mortgage, 2019-2023","Median selected monthly owner costs -without a mortage, 2019-2023","Median gross rent, 2019-2023","Building Permits, 2023","Households, 2019-2023","Persons per household, 2019-2023","Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","Households with a computer, percent, 2019-2023","Households with a broadband Internet subscription, percent, 2019-2023","High school graduate or higher, percent of persons age 25 years+, 2019-2023","Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","With a disability, under age 65 years, percent, 2019-2023","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2019-2023","In civilian labor force, female, percent of population age 16 years+, 2019-2023","Total accommodation and food services sales, 2022 ($1,000)","Total health care and social assistance receipts/revenue, 2022 ($1,000)","Total transportation and warehousing receipts/revenue, 2022 ($1,000)","Total retail sales, 2022 ($1,000)","Total retail sales per capita, 2022","Mean travel time to work (minutes), workers age 16 years+, 2019-2023","Median households income (in 2023 dollars), 2019-2023","Per capita income in past 12 months (in 2023 dollars), 2019-2023","Persons in poverty, percent","Total employer establishments, 2022","Total employment, 2022","Total annual payroll, 2022 ($1,000)","Total employment, percent change, 2021-2022","Total nonemployer establishments, 2022","All employer firms, Reference year 2022","Men-owned employer firms, Reference year 2022","Women-owned employer firms, Reference year 2022","Minority-owned employer firms, Reference year 2022","Nonminority-owned employer firms, Reference year 2022","Veteran-owned employer firms, Reference year 2022","Nonveteran-owned employer firms, Reference year 2022","Population per square mile, 2020","Population per square mile, 2010","Land area in square miles, 2020","Land area in square miles, 2010",FIPS Code,,NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,Value Notes,None,,Fact Notes,(a),(b),(c),,Value Flags,D,F,FN,,S,X,Z,-,N
Fact Note,,,,,,,,,,,,,,(a),(a),(a),(a),,(b),,,,,,,,,,,,,,,,,,,,,,,(c),(c),(c),(c),(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Includes persons reporting only one race,"Hispanics may be of any race, so also are included in applicable race categories",Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,Suppressed to avoid disclosure of confidential information,Fewer than 25 firms,Footnote on this item in place of data,Not available,Suppressed; does not meet publication standards,Not applicable,Value greater than zero but less than half unit of measure shown,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",Data for this geographic area cannot be displayed because the number of sample cases is too small.
United States,"340,110,988","334,914,895","331,515,736","331,464,948",2.60%,1.00%,"331,449,281","308,745,538",5.50%,21.70%,17.70%,50.50%,75.30%,13.70%,1.30%,6.40%,0.30%,3.10%,19.50%,58.40%,"16,569,149",13.90%,"145,344,636",65.00%,"$303,400 ","$1,902 ",$612 ,"$1,348 ","1,511,102","127,482,865",2.54,87.30%,22.00%,94.80%,89.70%,89.40%,35.00%,9.10%,9.50%,63.00%,58.70%,"1,196,315,575","3,330,304,719","1,316,303,546","6,974,691,329","$20,928 ",26.6,"$78,538 ","$43,289 ",11.10%,"8,298,562","135,748,407","8,965,035,263",5.80%,"29,811,495","5,876,787","3,633,787","1,309,282","1,326,462","4,230,881","273,542","5,275,279",93.8,87.4,"3,533,038.28","3,531,905.43","""1""",,,,,,,,,,,,,,,,,,,,,
Alabama,"5,157,699","5,108,468","5,025,369","5,024,294",2.60%,1.70%,"5,024,279","4,779,736",5.70%,22.10%,18.30%,51.50%,68.90%,26.60%,0.70%,1.60%,0.10%,2.00%,5.70%,64.10%,"310,187",3.80%,"2,360,135",69.90%,"$195,100 ","$1,386 ",$430 ,$963 ,"20,337","1,969,105",2.5,87.80%,5.90%,92.50%,85.60%,88.10%,27.80%,11.60%,10.30%,57.80%,53.30%,"13,650,008","38,895,946","13,872,047","94,272,444","$18,580 ",25.4,"$62,027 ","$34,835 ",15.60%,"105,071","1,777,657","94,186,727",3.40%,"390,228","69,656","43,637","14,122","10,197","54,274","4,212","59,366",99.2,94.4,"50,647.13","50,645.33","""01""",,,,,,,,,,,,,,,,,,,,,
Alaska,"740,133","733,406","733,395","733,374",0.90%,Z,"733,391","710,231",6.30%,23.90%,14.40%,47.50%,64.20%,3.70%,15.60%,6.80%,1.70%,8.10%,7.50%,59.00%,"58,910",7.80%,"329,699",66.60%,"$333,300 ","$2,192 ",$674 ,"$1,388 ",937,"267,865",2.63,85.20%,15.60%,96.60%,90.60%,93.50%,31.20%,9.60%,11.90%,62.50%,61.30%,"3,197,824","10,552,218","6,944,069","13,651,314","$18,617 ",19.5,"$89,336 ","$44,928 ",10.40%,"22,082","257,462","17,816,330",2.50%,"60,471","16,422","8,610","3,952","2,225","12,275","1,141","13,355",1.3,1.2,"571,022.38","570,640.95","""02""",,,,,,,,,,,,,,,,,,,,,
Arizona,"7,582,384","7,431,344","7,158,110","7,157,902",5.90%,3.80%,"7,151,502","6,392,017",5.30%,21.30%,19.30%,50.10%,81.50%,5.70%,5.20%,4.10%,0.30%,3.30%,31.60%,53.40%,"459,818",12.90%,"3,239,581",67.00%,"$358,900 ","$1,739 ",$500 ,"$1,431 ","58,433","2,796,790",2.54,85.10%,25.70%,95.90%,90.40%,89.10%,32.60%,9.30%,12.10%,60.10%,55.60%,"27,613,720","66,572,509","21,696,444","157,466,082","$21,378 ",25.5,"$76,872 ","$40,736 ",12.40%,"159,857","2,787,701","162,647,099",7.20%,"585,251","116,651","64,372","25,786","22,370","84,545","5,876","101,623",62.9,56.3,"113,653.42","113,594.08","""04""",,,,,,,,,,,,,,,,,,,,,
Arkansas,"3,088,354","3,067,732","3,011,553","3,011,490",2.60%,1.90%,"3,011,524","2,915,918",5.90%,23.00%,18.00%,50.70%,78.40%,15.60%,1.10%,1.90%,0.50%,2.50%,9.20%,70.20%,"176,468",5.20%,"1,409,134",66.10%,"$175,300 ","$1,297 ",$422 ,$914 ,"12,842","1,189,160",2.48,86.90%,8.10%,92.60%,84.70%,88.60%,25.10%,13.10%,10.70%,58.10%,54.00%,"7,413,835","27,283,841","14,045,662","61,595,202","$20,219 ",22.3,"$58,773 ","$33,147 ",15.70%,"69,634","1,089,044","56,607,098",5.80%,"241,619","47,861","26,885","9,495","5,407","38,293","2,784","40,031",57.9,56,"51,992.85","52,035.48","""05""",,,,,,,,,,,,,,,,,,,,,
California,"39,431,263","38,965,193","39,555,674","39,538,212",-0.30%,-1.40%,"39,538,223","37,253,956",5.40%,21.70%,16.20%,50.10%,70.40%,6.50%,1.70%,16.50%,0.50%,4.30%,40.40%,34.30%,"1,355,918",26.70%,"14,763,237",55.80%,"$695,400 ","$2,865 ",$783 ,"$1,956 ","111,760","13,434,847",2.86,88.80%,44.10%,96.40%,92.50%,84.60%,36.50%,7.30%,7.40%,63.30%,58.10%,"169,438,170","420,638,311","171,389,035","809,607,418","$20,738 ",29,"$96,334 ","$47,977 ",12.00%,"1,023,181","16,032,440","1,361,755,461",8.10%,"3,502,950","781,306","469,788","183,842","291,607","441,805","27,220","715,683",253.7,239.1,"155,858.33","155,779.22","""06""",,,,,,,,,,,,,,,,,,,,,
South Dakota,"924,669","919,318","886,729","886,668",4.30%,3.70%,"886,667","814,180",6.30%,24.10%,18.40%,49.20%,84.20%,2.60%,8.50%,1.80%,0.10%,2.80%,5.10%,80.50%,"54,527",3.90%,"417,220",68.60%,"$236,800 ","$1,618 ",$597 ,$912 ,"7,072","358,552",2.42,86.50%,6.70%,93.60%,88.50%,93.00%,31.10%,8.10%,10.00%,67.00%,63.70%,"2,992,306","10,687,294","2,505,126","20,998,722","$23,079 ",17.6,"$72,421 ","$38,880 ",11.80%,"28,857","373,863","19,670,042",2.70%,"74,028","21,587","12,409","3,519",916,"18,441","1,389","17,564",11.7,10.7,"75,809.61","75,811.00","""46""",,,,,,,,,,,,,,,,,,,,,
Tennessee,"7,227,750","7,126,489","6,912,347","6,910,786",4.60%,3.10%,"6,910,840","6,346,105",5.80%,22.00%,17.40%,51.00%,78.40%,16.50%,0.60%,2.10%,0.10%,2.30%,7.50%,72.00%,"406,307",5.90%,"3,195,304",67.00%,"$256,800 ","$1,506 ",$455 ,"$1,122 ","47,463","2,768,743",2.47,86.70%,8.30%,93.50%,87.40%,89.60%,30.40%,10.70%,11.10%,61.70%,57.30%,"24,026,772","67,569,204","33,091,113","149,013,235","$21,140 ",25.7,"$67,097 ","$37,866 ",14.00%,"147,924","2,846,881","161,157,703",5.30%,"637,340","95,453","59,619","18,201","13,251","74,359","4,788","81,816",167.6,153.9,"41,232.49","41,234.90","""47""",,,,,,,,,,,,,,,,,,,,,
Texas,"31,290,831","30,503,301","29,149,458","29,145,459",7.30%,4.70%,"29,145,505","25,145,561",6.30%,24.80%,13.70%,50.10%,76.80%,13.60%,1.10%,6.00%,0.20%,2.30%,39.80%,39.60%,"1,408,009",17.20%,"12,395,364",62.60%,"$260,400 ","$2,012 ",$650 ,"$1,339 ","232,373","10,747,240",2.7,85.70%,34.90%,95.60%,90.00%,85.70%,33.10%,8.40%,18.70%,64.70%,58.90%,"101,333,127","253,192,012","141,813,905","608,178,719","$20,252 ",26.7,"$76,292 ","$39,446 ",13.70%,"657,362","11,507,642","737,188,384",6.60%,"3,023,525","459,814","278,501","104,149","153,534","277,048","23,458","408,634",111.6,96.3,"261,267.85","261,231.71","""48""",,,,,,,,,,,,,,,,,,,,,
Utah,"3,503,613","3,417,734","3,271,608","3,271,614",7.10%,4.50%,"3,271,616","2,763,885",6.80%,27.30%,12.20%,49.30%,89.80%,1.60%,1.60%,2.90%,1.20%,3.00%,16.00%,75.70%,"113,093",8.60%,"1,258,623",70.60%,"$455,000 ","$1,927 ",$534 ,"$1,405 ","25,361","1,094,896",2.99,85.50%,15.70%,97.60%,92.80%,93.30%,36.90%,7.70%,9.00%,69.40%,62.40%,"10,093,510","26,852,434","15,844,454","79,042,386","$23,377 ",22,"$91,750 ","$39,240 ",9.00%,"93,706","1,521,640","89,418,575",6.10%,"294,809","74,451","45,960","13,429","7,966","61,295","2,671","66,830",39.7,33.6,"82,376.85","82,169.62","""49""",,,,,,,,,,,,,,,,,,,,,
Vermont,"648,493","647,464","643,082","643,077",0.80%,0.70%,"643,077","625,741",4.20%,17.70%,22.10%,50.40%,93.60%,1.60%,0.40%,2.10%,Z,2.20%,2.60%,91.50%,"34,076",4.30%,"341,375",72.80%,"$290,500 ","$1,877 ",$813 ,"$1,193 ","2,456","269,466",2.3,87.80%,5.50%,94.10%,87.90%,94.50%,42.60%,10.70%,4.30%,64.50%,62.20%,"2,585,645","6,842,309","989,473","14,107,103","$21,800 ",23.4,"$78,024 ","$44,365 ",9.70%,"20,868","254,471","13,729,536",6.10%,"64,930","16,301","8,892","2,951",614,"13,537",836,"13,168",69.8,67.9,"9,217.45","9,216.66","""50""",,,,,,,,,,,,,,,,,,,,,
Virginia,"8,811,195","8,715,698","8,631,388","8,631,373",2.10%,1.00%,"8,631,393","8,001,024",5.60%,21.60%,17.20%,50.60%,68.30%,20.00%,0.60%,7.40%,0.10%,3.50%,11.20%,59.10%,"637,971",12.90%,"3,717,677",67.20%,"$360,700 ","$2,079 ",$566 ,"$1,514 ","36,096","3,326,260",2.53,86.50%,17.20%,94.80%,89.90%,91.30%,41.50%,8.50%,7.60%,63.70%,60.20%,"27,454,254","76,107,236","28,159,556","159,207,647","$18,344 ",27.6,"$90,974 ","$49,217 ",10.20%,"209,244","3,494,956","234,462,103",4.60%,"722,562","146,633","87,156","36,625","38,241","98,421","10,734","124,877",218.6,202.6,"39,482.11","39,490.09","""51""",,,,,,,,,,,,,,,,,,,,,
Ohio,"11,883,304","11,785,935","11,799,453","11,799,331",0.70%,-0.10%,"11,799,448","11,536,504",5.60%,21.90%,18.70%,50.70%,80.60%,13.40%,0.30%,2.80%,0.10%,2.70%,4.80%,76.70%,"626,617",5.00%,"5,317,298",67.00%,"$199,200 ","$1,472 ",$570 ,$988 ,"27,318","4,829,571",2.38,87.60%,7.70%,93.60%,88.80%,91.60%,30.90%,10.20%,7.40%,63.10%,59.20%,"31,409,389","121,139,931","45,388,800","246,331,444","$20,947 ",23.6,"$69,680 ","$39,455 ",13.30%,"254,594","4,963,808","285,334,397",2.90%,"898,451","170,212","109,119","34,213","18,173","139,938","8,614","147,848",288.8,282.3,"40,858.76","40,860.69","""39""",,,,,,,,,,,,,,,,,,,,,
Oklahoma,"4,095,393","4,053,824","3,959,405","3,959,411",3.40%,2.40%,"3,959,353","3,751,351",6.00%,23.80%,16.60%,50.30%,72.90%,7.90%,9.50%,2.60%,0.30%,6.80%,12.90%,62.60%,"247,634",6.30%,"1,788,972",65.80%,"$185,900 ","$1,479 ",$496 ,$980 ,"13,405","1,542,780",2.51,85.10%,11.30%,94.10%,87.20%,89.10%,27.80%,12.30%,13.50%,60.50%,56.00%,"12,056,914","33,941,986","19,582,315","76,095,664","$18,933 ",22.4,"$63,603 ","$34,859 ",15.90%,"95,748","1,390,468","73,540,249",3.30%,"323,064","68,131","40,423","13,472","11,809","49,932","4,091","58,024",57.7,54.7,"68,596.53","68,594.92","""40""",,,,,,,,,,,,,,,,,,,,,
Oregon,"4,272,371","4,233,358","4,237,224","4,237,279",0.80%,-0.10%,"4,237,256","3,831,074",4.80%,19.60%,19.60%,50.20%,85.60%,2.40%,1.90%,5.20%,0.50%,4.40%,14.90%,72.80%,"252,530",9.70%,"1,879,586",63.40%,"$454,200 ","$2,080 ",$663 ,"$1,450 ","17,697","1,701,548",2.43,85.50%,15.10%,96.20%,91.60%,91.70%,36.20%,10.80%,6.70%,62.20%,58.30%,"14,476,964","42,776,129","13,119,177","107,313,788","$25,314 ",23.2,"$80,426 ","$44,063 ",12.20%,"122,397","1,666,806","104,057,684",5.80%,"320,778","91,261","50,710","20,211","14,149","69,577","4,505","79,078",44.1,39.9,"95,995.98","95,988.01","""41""",,,,,,,,,,,,,,,,,,,,,
Pennsylvania,"13,078,751","12,961,683","13,002,909","13,002,788",0.60%,-0.30%,"13,002,700","12,702,379",5.10%,20.30%,20.00%,50.70%,80.60%,12.30%,0.50%,4.20%,0.10%,2.40%,8.90%,74.10%,"656,112",7.40%,"5,839,963",69.30%,"$240,500 ","$1,722 ",$630 ,"$1,162 ","25,320","5,235,339",2.4,88.90%,12.00%,92.90%,88.50%,91.90%,34.50%,10.20%,6.60%,62.70%,58.60%,"34,888,736","154,216,328","42,748,848","301,886,383","$23,272 ",26.6,"$76,081 ","$43,104 ",12.00%,"307,685","5,584,830","341,442,697",5.80%,"938,764","214,407","138,704","42,550","28,975","170,420","9,012","188,660",290.6,283.9,"44,742.27","44,742.70","""42""",,,,,,,,,,,,,,,,,,,,,
Rhode Island,"1,112,308","1,095,962","1,097,354","1,097,371",1.40%,-0.10%,"1,097,379","1,052,567",4.80%,18.60%,19.30%,51.00%,82.40%,9.30%,1.30%,3.70%,0.20%,3.10%,18.00%,69.20%,"47,214",14.80%,"487,132",63.30%,"$368,800 ","$2,190 ",$873 ,"$1,273 ","1,169","436,902",2.4,88.80%,22.70%,94.10%,90.70%,89.50%,37.30%,9.80%,5.40%,64.60%,60.90%,"4,436,525","11,494,135","1,887,495","18,495,146","$16,908 ",25.5,"$86,372 ","$45,919 ",10.80%,"29,490","439,021","25,938,110",6.40%,"92,358","23,144","14,956","4,231","2,793","18,374",969,"19,986","1,061.40","1,018.10","1,033.89","1,033.81","""44""",,,,,,,,,,,,,,,,,,,,,
South Carolina,"5,478,831","5,373,555","5,118,252","5,118,422",7.00%,5.00%,"5,118,425","4,625,364",5.40%,21.30%,19.30%,51.40%,69.00%,26.00%,0.60%,2.00%,0.10%,2.30%,7.50%,62.90%,"344,530",5.60%,"2,490,344",71.40%,"$236,700 ","$1,475 ",$433 ,"$1,126 ","42,474","2,070,390",2.45,86.90%,8.20%,93.70%,86.80%,89.60%,31.50%,10.10%,11.10%,59.60%,55.80%,"17,879,711","38,362,166","11,374,736","102,257,745","$19,356 ",25.6,"$66,818 ","$37,993 ",13.90%,"120,769","2,013,315","102,955,987",4.00%,"440,037","84,727","53,664","18,824","12,343","66,777","6,059","71,992",170.3,153.9,"30,064.28","30,060.70","""45""",,,,,,,,,,,,,,,,,,,,,
New Hampshire,"1,409,032","1,402,054","1,377,546","1,377,524",2.30%,1.80%,"1,377,529","1,316,470",4.50%,18.00%,20.80%,50.10%,92.50%,2.10%,0.30%,3.10%,0.10%,1.90%,4.80%,88.50%,"89,294",6.20%,"653,069",72.50%,"$367,200 ","$2,305 ",$971 ,"$1,423 ","4,555","551,186",2.44,88.70%,8.00%,95.60%,91.80%,94.10%,39.80%,9.40%,5.90%,66.20%,62.30%,"5,032,074","15,658,963","2,445,600","41,255,081","$29,489 ",26.8,"$95,628 ","$50,867 ",7.20%,"39,348","615,249","39,157,825",4.80%,"114,903","29,560","18,196","5,119","2,133","24,533","1,579","24,678",153.9,147,"8,953.75","8,952.65","""33""",,,,,,,,,,,,,,,,,,,,,
New Jersey,"9,500,851","9,290,841","9,289,014","9,289,039",2.30%,Z,"9,288,994","8,791,894",5.60%,21.60%,17.70%,50.80%,70.40%,15.50%,0.80%,10.60%,0.10%,2.50%,22.70%,52.00%,"285,835",23.50%,"3,804,012",63.70%,"$427,600 ","$2,787 ","$1,205 ","$1,653 ","32,840","3,478,355",2.61,90.10%,32.70%,95.30%,91.80%,90.70%,42.90%,6.90%,8.50%,66.20%,61.40%,"31,189,464","96,064,339","44,934,981","208,629,891","$22,528 ",30.9,"$101,050 ","$53,118 ",9.70%,"237,499","3,813,702","275,696,056",6.80%,"856,771","185,417","121,731","38,988","50,317","124,286","6,127","169,340","1,263.00","1,195.50","7,354.76","7,354.22","""34""",,,,,,,,,,,,,,,,,,,,,
New Mexico,"2,130,256","2,114,371","2,117,555","2,117,525",0.60%,-0.10%,"2,117,522","2,059,179",5.10%,21.30%,19.80%,50.30%,80.70%,2.80%,11.40%,2.00%,0.20%,2.80%,48.60%,36.80%,"133,239",9.20%,"965,399",69.30%,"$232,200 ","$1,510 ",$439 ,"$1,021 ","8,511","825,021",2.51,87.80%,31.60%,92.40%,84.20%,87.70%,30.20%,11.80%,11.10%,56.90%,53.30%,"7,086,476","17,390,006","3,660,003","36,921,203","$17,469 ",23.2,"$62,125 ","$34,823 ",17.80%,"44,850","639,118","31,979,149",5.50%,"138,557","31,989","17,512","7,081","9,485","18,502","1,782","26,552",17.5,17,"121,312.75","121,298.15","""35""",,,,,,,,,,,,,,,,,,,,,
New York,"19,867,248","19,571,216","20,203,772","20,202,320",-1.70%,-3.10%,"20,201,249","19,378,102",5.30%,20.20%,18.60%,51.20%,68.50%,17.70%,1.10%,9.70%,0.10%,2.90%,19.80%,54.00%,"607,728",22.60%,"8,631,525",54.30%,"$403,000 ","$2,501 ",$927 ,"$1,576 ","48,807","7,668,956",2.51,89.90%,30.60%,94.00%,89.60%,87.90%,39.60%,8.10%,5.80%,62.80%,59.00%,"78,162,473","252,439,924","69,447,564","392,993,705","$19,976 ",32.8,"$84,578 ","$49,520 ",14.20%,"540,271","8,429,776","716,345,662",6.90%,"1,923,517","427,083","284,026","92,967","104,131","299,225","12,167","392,504",428.7,411.2,"47,123.59","47,126.40","""36""",,,,,,,,,,,,,,,,,,,,,
