district,d_total,r_total,other_total,total_votes,d_percent,r_percent,other_percent,margin
AK 01,140026.0,184458.0,13693.0,338177.0,41.41,54.54,4.05,13.1
AL 01,73202.0,257309.0,3919.0,334430.0,21.89,76.94,1.17,55.1
AL 02,155343.0,131501.0,3386.0,290230.0,53.52,45.31,1.17,-8.2
AL 03,82876.0,230168.0,3498.0,316542.0,26.18,72.71,1.11,46.5
AL 04,49720.0,258636.0,3180.0,311536.0,15.96,83.02,1.02,67.1
AL 05,124533.0,233123.0,6507.0,364163.0,34.2,64.02,1.79,29.8
AL 06,104267.0,240522.0,6474.0,351263.0,29.68,68.47,1.84,38.8
AL 07,182469.0,111356.0,3102.0,296927.0,61.45,37.5,1.04,-23.9
AR 01,72184.0,196035.0,5228.0,273447.0,26.4,71.69,1.91,45.3
AR 02,131088.0,180710.0,7701.0,319499.0,41.03,56.56,2.41,15.5
AR 03,112073.0,189161.0,8438.0,309672.0,36.19,61.08,2.72,24.9
AR 04,81560.0,193335.0,5163.0,280058.0,29.12,69.03,1.84,39.9
AZ 01,216232.0,230237.0,6147.0,452616.0,47.77,50.87,1.36,3.1
AZ 02,174927.0,237247.0,4739.0,416913.0,41.96,56.91,1.14,14.9
AZ 03,147522.0,62762.0,3824.0,214108.0,68.9,29.31,1.79,-39.6
AZ 04,182893.0,159723.0,6482.0,349098.0,52.39,45.75,1.86,-6.6
AZ 05,175673.0,264571.0,6512.0,446756.0,39.32,59.22,1.46,19.9
AZ 06,216024.0,219323.0,6421.0,441768.0,48.9,49.65,1.45,0.7
AZ 07,170352.0,108028.0,4097.0,282477.0,60.31,38.24,1.45,-22.1
AZ 08,162183.0,226186.0,5016.0,393385.0,41.23,57.5,1.28,16.3
AZ 09,137054.0,262165.0,4409.0,403628.0,33.96,64.95,1.09,31.0
CA 01,118090.0,199649.0,9154.0,326893.0,36.12,61.07,2.8,24.9
CA 02,276863.0,100474.0,13263.0,390600.0,70.88,25.72,3.4,-45.2
CA 03,201922.0,218497.0,13677.0,434096.0,46.52,50.33,3.15,3.8
CA 04,225203.0,115410.0,11056.0,351669.0,64.04,32.82,3.14,-31.2
CA 05,151686.0,219092.0,9727.0,380505.0,39.86,57.58,2.56,17.7
CA 06,166463.0,124666.0,10283.0,301412.0,55.23,41.36,3.41,-13.9
CA 07,195104.0,103118.0,10976.0,309198.0,63.1,33.35,3.55,-29.7
CA 08,200015.0,75771.0,9330.0,285116.0,70.15,26.58,3.27,-43.6
CA 09,122904.0,127491.0,7808.0,258203.0,47.6,49.38,3.02,1.8
CA 10,247321.0,119198.0,12771.0,379290.0,65.21,31.43,3.37,-33.8
CA 11,295463.0,50870.0,14849.0,361182.0,81.8,14.08,4.11,-67.7
CA 12,269148.0,33869.0,15369.0,318386.0,84.54,10.64,4.83,-73.9
CA 13,100559.0,112433.0,6106.0,219098.0,45.9,51.32,2.79,5.4
CA 14,191274.0,88263.0,11241.0,290778.0,65.78,30.35,3.87,-35.4
CA 15,220603.0,74250.0,10737.0,305590.0,72.19,24.3,3.51,-47.9
CA 16,249344.0,82398.0,12323.0,344065.0,72.47,23.95,3.58,-48.5
CA 17,176438.0,76249.0,11636.0,264323.0,66.75,28.85,4.4,-37.9
CA 18,149269.0,79571.0,7397.0,236237.0,63.19,33.68,3.13,-29.5
CA 19,246402.0,116909.0,13201.0,376512.0,65.44,31.05,3.51,-34.4
CA 20,110642.0,210246.0,7558.0,328446.0,33.69,64.01,2.3,30.3
CA 21,101220.0,93644.0,5285.0,200149.0,50.57,46.79,2.64,-3.8
CA 22,79359.0,89469.0,4549.0,173377.0,45.77,51.6,2.62,5.8
CA 23,110434.0,156700.0,7322.0,274456.0,40.24,57.09,2.67,16.9
CA 24,214703.0,126489.0,10985.0,352177.0,60.96,35.92,3.12,-25.0
CA 25,125529.0,119328.0,5870.0,250727.0,50.07,47.59,2.34,-2.5
CA 26,190849.0,145316.0,9760.0,345925.0,55.17,42.01,2.82,-13.2
CA 27,157170.0,145061.0,9186.0,311417.0,50.47,46.58,2.95,-3.9
CA 28,204263.0,115237.0,11017.0,330517.0,61.8,34.87,3.33,-26.9
CA 29,154257.0,72714.0,7344.0,234315.0,65.83,31.03,3.13,-34.8
CA 30,233138.0,94036.0,11644.0,338818.0,68.81,27.75,3.44,-41.1
CA 31,151581.0,106588.0,8016.0,266185.0,56.95,40.04,3.01,-16.9
CA 32,224304.0,114803.0,10213.0,349320.0,64.21,32.86,2.92,-31.3
CA 33,129054.0,107755.0,7079.0,243888.0,52.92,44.18,2.9,-8.7
CA 34,156740.0,48092.0,9707.0,214539.0,73.06,22.42,4.52,-50.6
CA 35,131010.0,105937.0,7176.0,244123.0,53.67,43.39,2.94,-10.3
CA 36,261912.0,111106.0,12602.0,385620.0,67.92,28.81,3.27,-39.1
CA 37,184950.0,42949.0,7225.0,235124.0,78.66,18.27,3.07,-60.4
CA 38,166559.0,119143.0,9175.0,294877.0,56.48,40.4,3.11,-16.1
CA 39,125934.0,103033.0,7257.0,236224.0,53.31,43.62,3.07,-9.7
CA 40,184651.0,193734.0,13008.0,391393.0,47.18,49.5,3.32,2.3
CA 41,165922.0,187430.0,9456.0,362808.0,45.73,51.66,2.61,5.9
CA 42,159940.0,79492.0,8627.0,248059.0,64.48,32.05,3.48,-32.4
CA 43,162845.0,53435.0,7169.0,223449.0,72.88,23.91,3.21,-49.0
CA 44,164053.0,79136.0,7917.0,251106.0,65.33,31.51,3.15,-33.8
CA 45,159879.0,154900.0,9584.0,324363.0,49.29,47.76,2.95,-1.5
CA 46,125174.0,86462.0,6726.0,218362.0,57.32,39.6,3.08,-17.7
CA 47,182428.0,167325.0,12709.0,362462.0,50.33,46.16,3.51,-4.2
CA 48,152884.0,209800.0,9170.0,371854.0,41.11,56.42,2.47,15.3
CA 49,202287.0,172361.0,10898.0,385546.0,52.47,44.71,2.83,-7.8
CA 50,234873.0,124867.0,12502.0,372242.0,63.1,33.54,3.36,-29.6
CA 51,204059.0,124434.0,10442.0,338935.0,60.21,36.71,3.08,-23.5
CA 52,159494.0,102478.0,7128.0,269100.0,59.27,38.08,2.65,-21.2
CO 01,280662.0,75479.0,10213.0,366354.0,76.61,20.6,2.79,-56.0
CO 02,295692.0,123973.0,12272.0,431937.0,68.46,28.7,2.84,-39.8
CO 03,178501.0,218065.0,10200.0,406766.0,43.88,53.61,2.51,9.7
CO 04,182901.0,267114.0,11563.0,461578.0,39.63,57.87,2.51,18.2
CO 05,165522.0,199615.0,10336.0,375473.0,44.08,53.16,2.75,9.1
CO 06,210533.0,139305.0,10531.0,360369.0,58.42,38.66,2.92,-19.8
CO 07,249924.0,183164.0,12680.0,445768.0,56.07,41.09,2.84,-15.0
CO 08,164426.0,170726.0,9348.0,344500.0,47.73,49.56,2.71,1.8
CT 01,208405.0,129726.0,5839.0,343970.0,60.59,37.71,1.7,-22.9
CT 02,205994.0,175984.0,6611.0,388589.0,53.01,45.29,1.7,-7.7
CT 03,191831.0,143737.0,6710.0,342278.0,56.05,41.99,1.96,-14.1
CT 04,206080.0,127034.0,5347.0,338461.0,60.89,37.53,1.58,-23.4
CT 05,179743.0,160437.0,5532.0,345712.0,51.99,46.41,1.6,-5.6
DE 01,289758.0,214351.0,7588.0,511697.0,56.63,41.89,1.48,-14.7
FL 01,130049.0,286314.0,6241.0,422604.0,30.77,67.75,1.48,37.0
FL 02,166211.0,240957.0,5776.0,412944.0,40.25,58.35,1.4,18.1
FL 03,155690.0,239780.0,5249.0,400719.0,38.85,59.84,1.31,21.0
FL 04,173072.0,220106.0,5559.0,398737.0,43.41,55.2,1.39,11.8
FL 05,169104.0,262791.0,7173.0,439068.0,38.51,59.85,1.63,21.3
FL 06,152648.0,285400.0,4687.0,442735.0,34.48,64.46,1.06,30.0
FL 07,184389.0,237638.0,6567.0,428594.0,43.02,55.45,1.53,12.4
FL 08,177212.0,280407.0,6363.0,463982.0,38.19,60.43,1.37,22.2
FL 09,169678.0,157999.0,4946.0,332623.0,51.01,47.5,1.49,-3.5
FL 10,182937.0,114482.0,5280.0,302699.0,60.44,37.82,1.74,-22.6
FL 11,189098.0,263141.0,5873.0,458112.0,41.28,57.44,1.28,16.2
FL 12,143215.0,296459.0,5070.0,444744.0,32.2,66.66,1.14,34.5
FL 13,182362.0,231968.0,5738.0,420068.0,43.41,55.22,1.37,11.8
FL 14,190432.0,163008.0,5812.0,359252.0,53.01,45.37,1.62,-7.6
FL 15,155664.0,195539.0,6609.0,357812.0,43.5,54.65,1.85,11.1
FL 16,177608.0,243281.0,5448.0,426337.0,41.66,57.06,1.28,15.4
FL 17,175910.0,287639.0,5064.0,468613.0,37.54,61.38,1.08,23.8
FL 18,124283.0,228976.0,3891.0,357150.0,34.8,64.11,1.09,29.3
FL 19,150143.0,275143.0,4736.0,430022.0,34.92,63.98,1.1,29.1
FL 20,207879.0,89175.0,3535.0,300589.0,69.16,29.67,1.18,-39.5
FL 21,188494.0,263988.0,5125.0,457607.0,41.19,57.69,1.12,16.5
FL 22,196989.0,176060.0,4556.0,377605.0,52.17,46.63,1.21,-5.5
FL 23,195655.0,188273.0,4896.0,388824.0,50.32,48.42,1.26,-1.9
FL 24,190492.0,102000.0,3536.0,296028.0,64.35,34.46,1.19,-29.9
FL 25,183992.0,165194.0,4722.0,353908.0,51.99,46.68,1.33,-5.3
FL 26,100410.0,211496.0,2804.0,314710.0,31.91,67.2,0.89,35.3
FL 27,142010.0,192300.0,3878.0,338188.0,41.99,56.86,1.15,14.9
FL 28,123604.0,208836.0,3073.0,335513.0,36.84,62.24,0.92,25.4
GA 01,152200.0,209761.0,1512.0,363473.0,41.87,57.71,0.42,15.8
GA 02,169832.0,145604.0,658.0,316094.0,53.73,46.06,0.21,-7.7
GA 03,146037.0,270130.0,2088.0,418255.0,34.92,64.59,0.5,29.7
GA 04,234437.0,72044.0,3304.0,309785.0,75.68,23.26,1.07,-52.4
GA 05,299895.0,47969.0,3401.0,351265.0,85.38,13.66,0.97,-71.7
GA 06,280053.0,92570.0,2840.0,375463.0,74.59,24.65,0.76,-49.9
GA 07,166122.0,261239.0,5036.0,432397.0,38.42,60.42,1.16,22.0
GA 08,119100.0,225082.0,826.0,345008.0,34.52,65.24,0.24,30.7
GA 09,130854.0,267768.0,2631.0,401253.0,32.61,66.73,0.66,34.1
GA 10,162825.0,248555.0,2194.0,413574.0,39.37,60.1,0.53,20.7
GA 11,159565.0,257547.0,3889.0,421001.0,37.9,61.17,0.92,23.3
GA 12,148846.0,198235.0,1160.0,348241.0,42.74,56.92,0.33,14.2
GA 13,257427.0,103887.0,3377.0,364691.0,70.59,28.49,0.93,-42.1
GA 14,120582.0,262682.0,2110.0,385374.0,31.29,68.16,0.55,36.9
HI 01,153037.0,91500.0,4305.0,248842.0,61.5,36.77,1.73,-24.7
HI 02,160007.0,102161.0,5691.0,267859.0,59.74,38.14,2.12,-21.6
IA 01,190502.0,226309.0,6185.0,422996.0,45.04,53.5,1.46,8.5
IA 02,186017.0,227941.0,5736.0,419694.0,44.32,54.31,1.37,10.0
IA 03,199043.0,217645.0,5473.0,422161.0,47.15,51.55,1.3,4.4
IA 04,131716.0,255124.0,5158.0,391998.0,33.6,65.08,1.32,31.5
ID 01,126556.0,343893.0,11889.0,482338.0,26.24,71.3,2.46,45.1
ID 02,148416.0,261353.0,12860.0,422629.0,35.12,61.84,3.04,26.7
IL 01,214073.0,109242.0,4151.0,327466.0,65.37,33.36,1.27,-32.0
IL 02,196214.0,97528.0,4088.0,297830.0,65.88,32.75,1.37,-33.1
IL 03,172244.0,89231.0,4643.0,266118.0,64.72,33.53,1.74,-31.2
IL 04,133939.0,74066.0,3552.0,211557.0,63.31,35.01,1.68,-28.3
IL 05,254786.0,115347.0,4477.0,374610.0,68.01,30.79,1.2,-37.2
IL 06,190612.0,170378.0,8088.0,369078.0,51.65,46.16,2.19,-5.5
IL 07,226762.0,46050.0,3115.0,275927.0,82.18,16.69,1.13,-65.5
IL 08,162699.0,141262.0,4032.0,307993.0,52.83,45.87,1.31,-7.0
IL 09,234690.0,108074.0,3873.0,346637.0,67.7,31.18,1.12,-36.5
IL 10,198639.0,126144.0,4420.0,329203.0,60.34,38.32,1.34,-22.0
IL 11,199305.0,157954.0,5280.0,362539.0,54.97,43.57,1.46,-11.4
IL 12,102544.0,264569.0,5588.0,372701.0,27.51,70.99,1.5,43.5
IL 13,180769.0,145442.0,5454.0,331665.0,54.5,43.85,1.64,-10.7
IL 14,173513.0,156109.0,5653.0,335275.0,51.75,46.56,1.69,-5.2
IL 15,111478.0,263513.0,5975.0,380966.0,29.26,69.17,1.57,39.9
IL 16,147603.0,236426.0,6549.0,390578.0,37.79,60.53,1.68,22.7
IL 17,162994.0,147745.0,6034.0,316773.0,51.45,46.64,1.9,-4.8
IN 01,161667.0,160552.0,0.0,322219.0,50.17,49.83,0.0,-0.3
IN 02,107778.0,187181.0,0.0,294959.0,36.54,63.46,0.0,26.9
IN 03,108258.0,208474.0,0.0,316732.0,34.14,65.75,0.0,31.6
IN 04,115150.0,212740.0,0.0,327890.0,35.1,64.84,0.0,29.7
IN 05,150105.0,212150.0,0.0,362255.0,41.44,58.56,0.0,17.1
IN 06,107013.0,212902.0,0.0,319915.0,33.45,66.55,0.0,33.1
IN 07,189586.0,77134.0,0.0,266720.0,71.08,28.92,0.0,-42.2
IN 08,103784.0,223051.0,0.0,326835.0,31.76,68.26,0.0,36.5
IN 09,121011.0,226651.0,0.0,347662.0,34.81,65.19,0.0,30.4
KS 01,103889.0,200988.0,5673.0,310550.0,33.45,64.72,1.83,31.3
KS 02,120737.0,181316.0,5849.0,307902.0,39.21,58.89,1.9,19.7
KS 03,203406.0,187105.0,7080.0,397591.0,51.16,47.06,1.78,-4.1
KS 04,116821.0,189393.0,5334.0,311548.0,37.5,60.79,1.71,23.3
KY 01,88125.0,250232.0,4464.0,342821.0,25.71,72.99,1.3,47.3
KY 02,100536.0,245734.0,5160.0,351430.0,28.61,69.92,1.47,41.3
KY 03,194712.0,131797.0,6151.0,332660.0,58.53,39.62,1.85,-18.9
KY 04,117644.0,250916.0,6452.0,375012.0,31.37,66.91,1.72,35.5
KY 05,55275.0,257630.0,3886.0,316791.0,17.45,81.32,1.23,63.9
KY 06,147751.0,201185.0,6880.0,355816.0,41.52,56.54,1.93,15.0
LA 01,112920.0,256662.0,6975.0,376557.0,29.99,68.16,1.85,38.2
LA 02,207199.0,106204.0,6225.0,319628.0,64.83,33.23,1.95,-31.6
LA 03,89993.0,241083.0,4514.0,335590.0,26.82,71.84,1.35,45.0
LA 04,78250.0,254745.0,4046.0,337041.0,23.22,75.58,1.2,52.4
LA 05,100557.0,218462.0,4842.0,323861.0,31.05,67.46,1.5,36.4
LA 06,178062.0,131196.0,4997.0,314255.0,56.66,41.75,1.59,-14.9
MA 01,211784.0,160045.0,9530.0,381359.0,55.53,41.97,2.5,-13.6
MA 02,231966.0,141308.0,11684.0,384958.0,60.26,36.71,3.04,-23.6
MA 03,208626.0,140854.0,9422.0,358902.0,58.13,39.25,2.63,-18.9
MA 04,237730.0,158054.0,11027.0,406811.0,58.44,38.85,2.71,-19.6
MA 05,265591.0,97371.0,11923.0,374885.0,70.85,25.97,3.18,-44.9
MA 06,255729.0,166654.0,10784.0,433167.0,59.04,38.47,2.49,-20.6
MA 07,222693.0,47009.0,10653.0,280355.0,79.43,16.77,3.8,-62.7
MA 08,242623.0,139502.0,10987.0,393112.0,61.72,35.49,2.79,-26.2
MA 09,249776.0,200506.0,9837.0,460119.0,54.29,43.58,2.14,-10.7
MD 01,171555.0,243356.0,12138.0,427049.0,40.17,56.99,2.84,16.8
MD 02,227194.0,154843.0,13230.0,395267.0,57.48,39.17,3.35,-18.3
MD 03,249542.0,151360.0,16093.0,416995.0,59.84,36.3,3.86,-23.5
MD 04,240880.0,33369.0,9149.0,283398.0,85.0,11.77,3.23,-73.2
MD 05,280941.0,138217.0,12309.0,431467.0,65.11,32.03,2.85,-33.1
MD 06,200040.0,177658.0,12644.0,390342.0,51.25,45.51,3.24,-5.7
MD 07,236171.0,58128.0,9739.0,304038.0,77.68,19.12,3.2,-58.6
MD 08,296254.0,78619.0,14905.0,389778.0,76.01,20.17,3.82,-55.8
ME 01,258863.0,165214.0,9632.0,433709.0,59.69,38.09,2.22,-21.6
ME 02,176789.0,212763.0,8114.0,397666.0,44.46,53.5,2.04,9.0
MI 01,187191.0,288956.0,7484.0,483631.0,38.71,59.75,1.55,21.0
MI 02,151091.0,283937.0,7009.0,442037.0,34.18,64.23,1.59,30.1
MI 03,226447.0,192690.0,8197.0,427334.0,52.99,45.09,1.92,-7.9
MI 04,201649.0,225615.0,7388.0,434652.0,46.39,51.91,1.7,5.5
MI 05,151102.0,265209.0,6303.0,422614.0,35.75,62.75,1.49,27.0
MI 06,280092.0,171956.0,13402.0,465450.0,60.18,36.94,2.88,-23.2
MI 07,224818.0,230862.0,7555.0,463235.0,48.53,49.84,1.63,1.3
MI 08,209472.0,218035.0,6437.0,433944.0,48.27,50.24,1.48,2.0
MI 09,161474.0,318875.0,7420.0,487769.0,33.1,65.37,1.52,32.3
MI 10,199324.0,227882.0,9988.0,437194.0,45.59,52.12,2.28,6.5
MI 11,262383.0,188356.0,10740.0,461479.0,56.86,40.82,2.33,-16.0
MI 12,247356.0,106968.0,19180.0,373504.0,66.23,28.64,5.14,-37.6
MI 13,232935.0,94494.0,8896.0,336325.0,69.26,28.1,2.65,-41.2
MN 01,167186.0,213794.0,7311.0,388291.0,43.06,55.06,1.88,12.0
MN 02,220555.0,195780.0,8483.0,424818.0,51.92,46.09,2.0,-5.8
MN 03,251783.0,161925.0,8924.0,422632.0,59.57,38.31,2.11,-21.3
MN 04,251495.0,117085.0,8203.0,376783.0,66.75,31.07,2.18,-35.7
MN 05,292800.0,65271.0,9706.0,367777.0,79.61,17.75,2.64,-61.9
